case_id,symptom,topology_note,concept_tag,severity,show_outputs,expected_fault,osi_layer,expected_next_command,expected_fix_steps
NET-001,PC1 cannot reach Server1 in VLAN 30.,Router-on-a-stick with sub-interfaces for VLAN 10 and VLAN 30 on GigabitEthernet0/0.,VLAN,HIGH,"GigabitEthernet0/0.10 is up, line protocol is up
GigabitEthernet0/0.30 is administratively down, line protocol is down",VLAN 30 router sub-interface is administratively down.,Layer 3,show interfaces GigabitEthernet0/0.30,configure terminal | interface GigabitEthernet0/0.30 | no shutdown
NET-002,"Hosts on VLAN 20 cannot reach hosts on VLAN 10, but both VLANs work locally.",Switch trunk to router configured; router has sub-interfaces for VLAN 10 and VLAN 20.,VLAN,HIGH,"interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 192.168.20.1 255.255.255.0
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
GigabitEthernet0/0.20 is up, line protocol is up",Inter-VLAN routing sub-interfaces appear correctly configured; likely an access-list or missing route is blocking inter-VLAN traffic rather than VLAN config itself.,Layer 3,show ip route,Verify routing table contains both VLAN subnets | Check for access-lists applied to sub-interfaces | Remove or correct blocking ACL
NET-003,New PC connected to switch port Fa0/5 cannot get an IP address and is isolated from the rest of VLAN 30.,Access switch with VLAN 30 assigned to most ports.,VLAN,MEDIUM,"interface FastEthernet0/5
 switchport mode access
 switchport access vlan 99
FastEthernet0/5 is up, line protocol is up",Port Fa0/5 is assigned to VLAN 99 instead of VLAN 30 (missing/incorrect VLAN assignment).,Layer 2,show vlan brief,configure terminal | interface FastEthernet0/5 | switchport access vlan 30
NET-004,Trunk link between SW1 and SW2 is not passing VLAN 40 traffic even though both switches have VLAN 40 defined.,Trunk configured between SW1 Gi0/1 and SW2 Gi0/1.,VLAN,HIGH,"interface GigabitEthernet0/1
 switchport mode trunk
 switchport trunk allowed vlan 10,20,30
GigabitEthernet0/1 is up, line protocol is up",VLAN 40 is not included in the trunk's allowed VLAN list (trunk pruning misconfiguration).,Layer 2,show interfaces trunk,configure terminal | interface GigabitEthernet0/1 | switchport trunk allowed vlan add 40
NET-005,"PC3 on SW2 cannot communicate with PC4 on SW1, although both are supposedly in VLAN 20.",Two access switches connected via a trunk link; VLAN 20 exists on SW1 but was never created on SW2.,VLAN,HIGH,"SW2#show vlan brief
VLAN Name Status Ports
1 default active Fa0/1, Fa0/2
(VLAN 20 not listed)",VLAN 20 does not exist in the VLAN database on SW2 (VLAN mismatch between switches).,Layer 2,show vlan brief,configure terminal | vlan 20 | name USERS | exit | interface FastEthernet0/2 | switchport access vlan 20
NET-006,"PC on LAN A cannot reach the server on LAN B across two routers, though both LAN interfaces are up.",R1 and R2 connected via a serial link; static routing environment.,Routing,HIGH,"R1#show ip route
C 192.168.1.0/24 is directly connected, GigabitEthernet0/0
C 10.0.0.0/30 is directly connected, Serial0/0/0
(no route to 192.168.2.0/24)",R1 is missing a static or dynamic route to the remote LAN B network (192.168.2.0/24).,Layer 3,show ip route,configure terminal | ip route 192.168.2.0 255.255.255.0 10.0.0.2
NET-007,OSPF neighbors between R1 and R2 are not forming; routing table on R1 has no OSPF routes.,"R1 and R2 connected via Serial0/0/0, OSPF area 0 configured on both.",Routing,HIGH,"R1#show ip ospf neighbor
(no output - no neighbors found)
R1#show run | include network
network 192.168.1.0 0.0.0.255 area 0","The serial link network statement for OSPF is missing on R1, so OSPF cannot form a neighbor relationship over the WAN link.",Layer 3,show ip ospf neighbor,configure terminal | router ospf 1 | network 10.0.0.0 0.0.0.3 area 0
NET-008,Branch router can ping its directly connected networks but cannot reach the HQ network across the WAN.,Branch router uses a default static route pointing to the wrong next-hop IP.,Routing,MEDIUM,"Branch#show ip route
S* 0.0.0.0/0 [1/0] via 172.16.0.254
C 172.16.0.0/30 is directly connected, Serial0/0/0","The default route's next-hop IP (172.16.0.254) does not match the HQ-side interface address, so the default route is unreachable/incorrect.",Layer 3,show ip route,configure terminal | no ip route 0.0.0.0 0.0.0.0 172.16.0.254 | ip route 0.0.0.0 0.0.0.0 172.16.0.1
NET-009,Some remote subnets are unreachable after adding a new router to the topology; routing table shows fewer routes than expected.,EIGRP running between three routers; new router R3 was just added.,Routing,MEDIUM,"R3#show ip eigrp neighbors
(no neighbors)
R3#show run | include autonomous-system
router eigrp 10","R3 is missing the required 'network' statements under EIGRP, so it has not formed adjacencies and is not advertising or learning routes.",Layer 3,show ip eigrp neighbors,configure terminal | router eigrp 10 | network 192.168.3.0 0.0.0.255 | network 10.0.0.4 0.0.0.3
NET-010,"Traffic destined for the internet works, but traffic to a specific internal subnet (192.168.5.0/24) times out.",Router has a default route to the ISP and several static internal routes.,Routing,MEDIUM,"R1#show ip route
S* 0.0.0.0/0 via 203.0.113.1
S 192.168.4.0/24 [1/0] via 10.0.0.2
(192.168.5.0/24 not present)","A static route for the 192.168.5.0/24 subnet is missing, so traffic to that internal network is unreachable and falls through unexpectedly or is dropped.",Layer 3,show ip route,configure terminal | ip route 192.168.5.0 255.255.255.0 10.0.0.2
